timestamp,title,price,original_price,shipping_details,item_url
2025-03-21 12:08:28,🦑Nintendo Switch OLED SPLATOON 3 64GB SPECIAL Limited Edition Console 🦑,US $318.88,US $369.99,N/A,https://www.ebay.com/itm/196002191019?_trkparms=5373%3A0%7C5374%3AFeatured%7C5079%3A6000007364
2025-03-21 12:08:29,Motorola Moto G Stylus 5G 2024 XT2419 Unlocked (AT&T/T-mobile/Verizon) Very Good,US $144.99,US $400.00,N/A,https://www.ebay.com/itm/205116384049?_trkparms=5373%3A0%7C5374%3AFeatured%7C5079%3A6000007299
2025-03-21 12:08:29,Google Pixel 8A 128GB 5G (UNLOCKED) Smartphone - Obsidian - Very Good,US $274.99,US $499.99,N/A,https://www.ebay.com/itm/316486347847?_trkparms=5373%3A0%7C5374%3AFeatured%7C5079%3A6000007299
2025-03-21 12:08:29,Motorola Moto G Stylus 5G 2024 128GB XT2419 Unlocked Caramel Latte - Excellent,US $169.99,US $399.99,N/A,https://www.ebay.com/itm/405194767875?_trkparms=5373%3A0%7C5374%3AFeatured%7C5079%3A6000007299
2025-03-21 12:08:29,Samsung Galaxy S21 Ultra 5G SM-G998U - 128GB - Phantom Black Unlocked - Good,US $236.99,US $399.99,N/A,https://www.ebay.com/itm/314214236337?_trkparms=5373%3A0%7C5374%3AFeatured%7C5079%3A6000007299
2025-03-21 12:08:29,Givenchy Mens 4G Monumental Mallow Sneakers,US $256.99,N/A,N/A,https://www.ebay.com/itm/356589722590?_trkparms=5373%3A0%7C5374%3AFeatured%7C5079%3A6000015387
2025-03-21 12:08:29,Gucci Mens Basket Leather Low-Top Sneakers,US $199.99,N/A,N/A,https://www.ebay.com/itm/356159429964?_trkparms=5373%3A0%7C5374%3AFeatured%7C5079%3A6000015387
2025-03-21 12:08:29,"Executive Automatic Folding 42"" Black Umbrella - Push Button - Curved Handle 17z",US $12.95,US $22.95,N/A,https://www.ebay.com/itm/176311805353?_trkparms=5373%3A0%7C5374%3AFeatured%7C5079%3A6000015387
2025-03-21 12:08:29,SolarShield Polarized ClipOn STRETCHABLE Sunglasses/ ALL SIZES w/SIZING GUIDE 9z,US $10.95,US $29.95,N/A,https://www.ebay.com/itm/176529971790?_trkparms=5373%3A0%7C5374%3AFeatured%7C5079%3A6000015387
2025-03-21 12:08:29,USB Electric Heated Jacket Vest 4-Zone - Youth Large up to Adults BIG Sizes 18z,US $17.95,US $49.95,N/A,https://www.ebay.com/itm/176426837428?_trkparms=5373%3A0%7C5374%3AFeatured%7C5079%3A6000008003
2025-03-21 12:08:29,"Puma Nemen X Storm Down Graphic FullZip Jacket Mens Black, White Casual Athletic",US $204.99,US $650.00,N/A,https://www.ebay.com/itm/405490989201?_trkparms=5373%3A0%7C5374%3AFeatured%7C5079%3A6000008003
2025-03-21 12:08:29,Loro Piana 100% Cashmere One Button Polo Sweater - Yellow - 3XL - $1250 Retail,US $345.00,N/A,N/A,https://www.ebay.com/itm/135570797476?_trkparms=5373%3A0%7C5374%3AFeatured%7C5079%3A6000008003
2025-03-21 12:08:29,Loro Piana Cashmere Full Zip Sweater - Blue - 2XL/3XL - $2450 Retail,US $875.00,N/A,N/A,https://www.ebay.com/itm/146405693588?_trkparms=5373%3A0%7C5374%3AFeatured%7C5079%3A6000008003
2025-03-21 12:08:29,Roberto Cavalli Auth 4 US 40 IT S Knit Wool Suede Cardigan Sweater Coat Runway,US $177.30,US $197.00,N/A,https://www.ebay.com/itm/116446126175?_trkparms=5373%3A0%7C5374%3AFeatured%7C5079%3A6000007508
2025-03-21 12:08:29,Genny by Gianni Versace 6 US 42 IT M Orange Belt Long Coat Jacket Runway Auth,US $141.30,US $157.00,N/A,https://www.ebay.com/itm/116463245902?_trkparms=5373%3A0%7C5374%3AFeatured%7C5079%3A6000007508
2025-03-21 12:08:29,Damen designer winter jacke parka outdoor jacke damenjacke echtfell kapuze D-204,US $97.51,N/A,N/A,https://www.ebay.com/itm/201667723125?_trkparms=5373%3A0%7C5374%3AFeatured%7C5079%3A6000007508
2025-03-21 12:08:29,Heavy duty steel boned PVC Corset Overbust Red Corset Sweetheart Waist Training,US $60.73,US $86.77,N/A,https://www.ebay.com/itm/175847425115?_trkparms=5373%3A0%7C5374%3AFeatured%7C5079%3A6000007508
2025-03-21 12:08:29,Gucci Womens GG Supreme Ankle Boots,US $279.99,N/A,N/A,https://www.ebay.com/itm/356259698110?_trkparms=5373%3A0%7C5374%3AFeatured%7C5079%3A6000015388
2025-03-21 12:08:29,Gucci Womens GG Supreme Ankle Boots,US $249.99,N/A,N/A,https://www.ebay.com/itm/356234868743?_trkparms=5373%3A0%7C5374%3AFeatured%7C5079%3A6000015388
2025-03-21 12:08:30,Gucci Auth 7 US 37 EU White Leather Red Blue Web Bow Thong Sandals Shoes Flats,US $240.30,US $267.00,N/A,https://www.ebay.com/itm/116463245890?_trkparms=5373%3A0%7C5374%3AFeatured%7C5079%3A6000015388
2025-03-21 12:08:30,Gucci Womens GG Supreme Ankle Accent Ankle Boots,US $299.99,N/A,N/A,https://www.ebay.com/itm/356259698001?_trkparms=5373%3A0%7C5374%3AFeatured%7C5079%3A6000015388
2025-03-21 12:08:30,"HP ENVY Laptop Intel Core Ultra 7 155U RTX 3050 32GB RAM 1TB SSD 17.3"" FHD W11H",US $769.99,"US $1,099.99",N/A,https://www.ebay.com/itm/305844871800?_trkparms=5373%3A0%7C5374%3AFeatured%7C5079%3A6000007531
2025-03-21 12:08:30,"HP Laptop AMD Ryzen 5 7530U 16GB 1 TB SSD 17.3"" Touchscreen W11H 17-cp3055cl",US $399.99,US $599.99,N/A,https://www.ebay.com/itm/305956067711?_trkparms=5373%3A0%7C5374%3AFeatured%7C5079%3A6000007531
2025-03-21 12:08:30,"Apple MacBook Pro 13"" Late 2020 M1 1TB SSD 16GB RAM Space Gray - Good",US $649.99,N/A,N/A,https://www.ebay.com/itm/156171886224?_trkparms=5373%3A0%7C5374%3AFeatured%7C5079%3A6000007531
2025-03-21 12:08:30,"ASUS Chromebook Plus 14"" FHD IPS Laptop Intel i3-1215U 8GB 128GB SSD Chrome OS",US $212.00,US $486.99,N/A,https://www.ebay.com/itm/167342430417?_trkparms=5373%3A0%7C5374%3AFeatured%7C5079%3A6000007531
2025-03-21 12:08:30,MTG Strixhaven School of Mages COLLECTOR Booster Box Display FACTORY SEALED,US $337.95,US $350.00,N/A,https://www.ebay.com/itm/276880807310?_trkparms=5373%3A0%7C5374%3AFeatured%7C5079%3A6000007511
2025-03-21 12:08:30,MTG LOTR Special Edition Lord of the Rings COLLECTOR Booster Pack SEALED,US $144.95,US $160.00,N/A,https://www.ebay.com/itm/286326162594?_trkparms=5373%3A0%7C5374%3AFeatured%7C5079%3A6000007511
2025-03-21 12:08:30,SV Surging Sparks SEALED Booster Box (36 Packs of AUTHENTIC Pokemon Cards),US $279.99,US $304.56,N/A,https://www.ebay.com/itm/316388140636?_trkparms=5373%3A0%7C5374%3AFeatured%7C5079%3A6000007511
2025-03-21 12:08:30,1x Factory Sealed SWSH BATTLE STYLES Booster Box (36 Packs of Pokemon Cards),US $219.99,US $253.80,N/A,https://www.ebay.com/itm/316311364805?_trkparms=5373%3A0%7C5374%3AFeatured%7C5079%3A6000007511
